               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12199,            0.030122,            0.053181,          0.00024357,             0.02359,          0.00013243,          2.8723e-05,              0.1188,            0.024905,            0.053177,              0.0901,              0.0011,              0.0011
                   1,             0.11424,            0.025777,            0.051596,          0.00042277,             0.02955,          0.00028874,          7.7985e-05,             0.11438,            0.020354,            0.051961,            0.079277,           0.0022772,           0.0022772
                   2,             0.10961,             0.02297,            0.049456,          0.00048061,            0.083396,          0.00041391,            8.24e-05,             0.11006,            0.018187,            0.050463,            0.068431,           0.0034307,           0.0034307
                   3,             0.10557,            0.023836,             0.04688,           0.0004248,              0.1088,          0.00046249,          9.3514e-05,             0.10659,            0.016588,            0.047531,             0.05756,           0.0045604,           0.0045604
                   4,            0.099944,            0.022412,            0.045975,           0.0005331,             0.12241,           0.0030408,          0.00052387,             0.10698,            0.015465,             0.04587,            0.046666,           0.0056664,           0.0056664
                   5,            0.095365,            0.022013,            0.044427,          0.00085837,               0.166,           0.0076489,           0.0014824,             0.09979,            0.017014,            0.046552,            0.035749,           0.0067485,           0.0067485
                   6,             0.09287,            0.022029,            0.042826,          0.00085589,             0.13295,           0.0015784,          0.00058855,            0.098255,            0.017176,            0.046898,            0.024807,            0.007807,            0.007807
                   7,             0.09018,            0.024261,            0.042315,          0.00097103,             0.15042,           0.0021055,          0.00077664,            0.098386,            0.017105,            0.044629,            0.013842,           0.0088416,           0.0088416
                   8,            0.089286,            0.022218,            0.042046,           0.0011537,               0.155,            0.007046,           0.0032574,            0.098708,            0.016944,            0.044022,            0.009208,            0.009208,            0.009208
                   9,            0.085761,            0.025278,            0.041644,             0.22254,           0.0054054,            0.012051,           0.0033588,            0.095008,            0.017774,            0.044177,            0.009208,            0.009208,            0.009208
